ID,IDCollar,Frecuencia,Color,LadoCaravana,IDCaravana,Sexo,Sitio,Latitud,Longitud,Fecha,Horaimpacto,Horaliberacion
HH02,87027,"163,880",no se colocó,-,-,Hembra,Campo Los Huemules,49.209342,72.96778,22/04/2021,16:33,17:57
HM03,87031,"164,040",Amarillo,Derecho,2,Macho,Cerro Polo (PNLG),49.25486,72.89711,25/04/2021,12:45,15:02
HH04,87028,"164,920",Lila,Izquierdo,no,Hembra,Campo Los Huemules,49.212736,72.971984,1/05/2021,10:52,11:24
HH05,87029,"163,960",Naranja,Izquierdo,no,Hembra,Campo Los Huemules,49.20501,72.97279,2/05/2021,11:07,11:41
HM06,87030,"164,000",Celeste,Derecho,3,Macho,Cerro Polo (PNLG),49.288500,72.913056,4/05/2021,12:50,13:28
HH07,88462,"163,840",Rosa,Izquierdo,no,Hembra,La Platea (PNLG),49.262194,72.893194,20/06/2021,12:39,13:45
HH08,88459,"163,780",Celeste,Izquierdo,A2,Hembra,Tunel (PNLG),49.414898,72.890408,7/10/2021,11:18,12:15
HH10,88458,"163,760",Celeste,Izquierdo,A5,Hembra,Tunel (PNLG),49.400833,72.878889,7/10/2021,16:19,16:52
HM11,88454,"163,680",Rojo,Derecho,BR,Macho,Tunel (PNLG),49.395863,72.875589,16/10/2021,14:25,15:08
HM12,88456,"163,720",Amarillo,Derecho,3,Macho,Tunel (PNLG),49.390423,72.922307,17/10/2021,12:57,16:30
